,Date,Price,Shares,Market Value,Remaining Amount,Total Amount,Action
0,2012-07-01,6.57,15220,99995.4,4.6,100000.0,Buy
1,2012-11-07,7.1,15220,108062.0,4.6,108066.6,Sell
2,2013-01-18,7.82,13819,108064.58,2.02,108066.6,Buy
3,2013-07-05,9.48,13819,131004.12,2.02,131006.14,Sell
4,2013-07-08,9.65,13575,130998.75,7.39,131006.14,Buy
5,2014-02-07,11.49,13575,155976.75,7.39,155984.14,Sell
6,2014-03-10,12.74,12243,155975.82,8.32,155984.14,Buy
7,2014-08-14,13.86,12243,169687.98,8.32,169696.30000000002,Sell
8,2014-09-02,14.7,11543,169682.1,14.2,169696.30000000002,Buy
9,2014-10-14,12.98,11543,149828.14,14.2,149842.34000000003,Sell
10,2014-11-20,15.22,9845,149840.9,1.44,149842.34000000003,Buy
11,2015-07-10,15.87,9845,156240.15,1.44,156241.59,Sell
12,2015-11-13,15.31,10205,156238.55,3.04,156241.59,Buy
13,2016-01-14,13.24,10205,135114.2,3.04,135117.24000000002,Sell
14,2016-04-04,15.74,8584,135112.16,5.08,135117.24000000002,Buy
15,2016-10-17,16.79,8584,144125.36,5.08,144130.43999999997,Sell
16,2016-12-05,17.95,8029,144120.55,9.89,144130.43999999997,Buy
17,2018-03-28,25.4,8029,203936.6,9.89,203946.49000000002,Sell
18,2018-06-15,28.55,7143,203932.65,13.84,203946.49000000002,Buy
19,2018-10-24,27.67,7143,197646.81,13.84,197660.65,Sell
20,2019-03-05,28.39,6962,197651.18,9.47,197660.65,Buy
21,2019-06-03,27.41,6962,190828.42,9.47,190837.89,Sell
22,2019-07-12,32.67,5841,190825.47,12.42,190837.89,Buy
23,2019-08-19,30.8,5841,179902.8,12.42,179915.22,Sell
24,2019-10-28,33.09,5437,179910.33,4.89,179915.22,Buy
25,2020-03-09,26.9,5437,146255.3,4.89,146260.19,Sell
26,2020-06-05,32.95,4438,146232.1,28.09,146260.19,Buy
27,2021-10-12,61.66,4438,273647.08,28.09,273675.17000000004,Sell
28,2021-10-29,67.42,4059,273657.78,17.39,273675.17000000004,Buy
29,2022-01-28,60.52,4059,245650.68,17.39,245668.07,Sell
