,Date,Price,Shares,Market Value,Remaining Amount,Total Amount,Action
0,2012-07-01,112.93,885,99943.05,56.95,100000.0,Buy
1,2015-09-08,172.34,885,152520.9,56.95,152577.85,Sell
2,2015-11-09,185.05,824,152481.2,96.65,152577.85,Buy
3,2016-01-20,164.56,824,135597.44,96.65,135694.09,Sell
4,2016-06-14,185.94,729,135550.26,143.83,135694.09,Buy
5,2018-11-28,252.95,729,184400.55,143.83,184544.37999999998,Sell
6,2018-11-29,256.81,718,184389.58,154.8,184544.37999999998,Buy
7,2018-11-30,256.9,718,184454.2,154.8,184609.0,Sell
8,2018-12-03,262.97,702,184604.94,4.06,184609.0,Buy
9,2018-12-21,232.86,702,163467.72,4.06,163471.78,Sell
10,2019-03-01,264.66,617,163295.22,176.56,163471.78,Buy
11,2020-03-23,220.72,617,136184.24,176.56,136360.8,Sell
12,2020-06-11,301.26,452,136169.52,191.28,136360.8,Buy
13,2022-03-08,416.52,452,188267.04,191.28,188458.32,Sell
14,2022-04-05,453.26,415,188102.9,355.42,188458.32,Buy
15,2022-04-28,420.47,415,174495.05,355.42,174850.47,Sell
